age,unit,sex,indic_em,geo,year,employment
Y15-24,THS_PER,T,ACT,DE,2020 ,4387 bp
Y15-24,THS_PER,T,ACT,DK,2020 ,428 
Y15-24,THS_PER,T,ACT,EA19,2020 ,13904 
Y15-24,THS_PER,T,ACT,EE,2020 ,51 
Y15-24,THS_PER,T,ACT,EL,2020 ,221 
Y15-24,THS_PER,T,ACT,ES,2020 ,1432 
Y15-24,THS_PER,T,ACT,EU15,2020 ,: 
Y15-24,THS_PER,T,ACT,EU27_2020,2020 ,17492 
Y15-24,THS_PER,T,ACT,EU28,2020 ,: 
Y15-24,THS_PER,T,ACT,FI,2020 ,307 
Y15-24,THS_PER,T,ACT,FR,2020 ,2756 
Y15-24,THS_PER,T,ACT,FX,2020 ,2697 
Y15-24,THS_PER,T,ACT,HR,2020 ,143 
Y15-24,THS_PER,T,ACT,HU,2020 ,311 
Y15-24,THS_PER,T,ACT,IE,2020 ,275 
Y15-24,THS_PER,T,ACT,IS,2020 ,29 b
Y15-24,THS_PER,T,ACT,IT,2020 ,1400 
Y15-24,THS_PER,T,ACT,LT,2020 ,103 
Y15-24,THS_PER,T,ACT,LU,2020 ,23 
Y15-24,THS_PER,T,ACT,LV,2020 ,59 
Y15-24,THS_PER,T,ACT,ME,2020 ,26 
Y15-24,THS_PER,T,ACT,MK,2020 ,76 
Y15-24,THS_PER,T,ACT,MT,2020 ,28 
Y15-24,THS_PER,T,ACT,NL,2020 ,1461 
